,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Upernavik,GL,72.79,-56.15,2.37,71,100,5.68,overcast clouds
129,Leningradskiy,RU,69.38,178.42,16.95,96,100,10.71,light snow
130,Cidreira,BR,-30.18,-50.21,73.42,85,61,19.8,broken clouds
131,Bo Phloi,TH,14.32,99.52,69.69,81,97,8.86,overcast clouds
132,Ucluelet,CA,48.93,-125.55,46.99,81,20,3.36,few clouds
133,San Jose,US,37.34,-121.89,64.99,23,1,4.7,clear sky
134,Okato,NZ,-39.2,173.88,64.0,68,95,11.99,overcast clouds
135,Meulaboh,ID,4.14,96.13,74.68,87,85,4.27,light rain
136,Naze,JP,28.37,129.48,64.4,77,75,2.24,broken clouds
137,Sept-Iles,CA,50.2,-66.38,30.2,92,69,1.12,broken clouds
138,Voskresenskoye,RU,56.84,45.43,26.29,98,99,8.48,overcast clouds
139,Pemangkat,ID,1.17,108.97,77.86,82,100,0.83,overcast clouds
140,Panguipulli,CL,-39.63,-72.33,57.2,76,75,5.82,broken clouds
141,Georgetown,MY,5.41,100.34,77.0,94,20,3.36,few clouds
142,Egvekinot,RU,66.32,-179.17,8.46,90,50,12.03,scattered clouds
143,Kushmurun,KZ,52.45,64.63,7.11,94,55,7.83,broken clouds
144,Swan River,CA,52.11,-101.27,30.2,100,100,3.36,overcast clouds
145,Avera,US,33.19,-82.53,57.2,84,90,4.7,mist
146,Paita,PE,-5.09,-81.11,66.45,84,15,14.07,few clouds
147,Tigre,AR,-34.43,-58.58,71.01,88,0,10.29,clear sky
148,Nampa,US,43.54,-116.56,37.99,64,1,6.93,clear sky
149,Moose Factory,CA,51.26,-80.61,30.2,79,90,4.7,overcast clouds
150,Pimentel,PE,-6.84,-79.93,69.8,73,0,23.04,clear sky
151,Riyadh,SA,24.69,46.72,64.4,77,20,3.36,few clouds
152,Torbay,CA,47.67,-52.73,53.6,93,90,5.82,overcast clouds
153,Severo-Kurilsk,RU,50.68,156.12,28.24,89,100,9.98,overcast clouds
154,Ribeira Grande,PT,38.52,-28.7,57.33,66,76,26.55,broken clouds
155,Bibiani,GH,6.46,-2.32,71.74,97,99,1.14,overcast clouds
156,Bathsheba,BB,13.22,-59.52,80.6,78,40,12.75,scattered clouds
157,Ilulissat,GL,69.22,-51.1,10.4,55,100,1.12,overcast clouds
158,Port Hedland,AU,-20.32,118.57,78.8,88,0,4.7,clear sky
159,Balakhta,RU,55.38,91.6,-0.45,91,0,1.66,clear sky
160,Roald,NO,62.58,6.13,46.4,61,23,10.29,few clouds
161,Kalengwa,ZM,-13.47,25.0,64.31,95,96,3.51,overcast clouds
162,Tessalit,ML,20.2,1.01,63.48,30,42,8.03,scattered clouds
163,Sao Filipe,CV,14.9,-24.5,75.42,72,97,9.8,overcast clouds
